Agent_ID,Product_Category,Commission_Percentage
Agent_571250,Home & Furniture,41.45
Agent_431730,Auto & Accessories,27.92
Agent_1442548,Fashion,4.62
Agent_2181146,Auto & Accessories,56.02
Agent_318488,Auto & Accessories,95.16
Agent_245383,Home & Furniture,73.54
Agent_822937,Auto & Accessories,17.91
Agent_1214327,Electronics,30.94
Agent_1393036,Home & Furniture,29.04
Agent_855336,Auto & Accessories,12.71
Agent_647547,Fashion,80.03
Agent_671241,Home & Furniture,57.48
Agent_290308,Auto & Accessories,9.49
Agent_1945999,Home & Furniture,47.38
Agent_87472,Home & Furniture,96.50
Agent_2196282,Auto & Accessories,62.34
Agent_2233698,Electronics,49.66
Agent_363037,Electronics,81.96
Agent_1156648,Home & Furniture,84.49
Agent_2266012,Auto & Accessories,22.91
Agent_1220310,Electronics,13.90
Agent_816677,Electronics,96.56
Agent_1121200,Auto & Accessories,33.44
Agent_1727019,Auto & Accessories,92.23
Agent_1505672,Electronics,91.15
Agent_710173,Electronics,91.38
Agent_1345842,Auto & Accessories,26.89
Agent_978703,Electronics,32.44
Agent_341001,Fashion,52.55
Agent_629567,Fashion,62.17
Agent_1918712,Home & Furniture,62.59
Agent_1657708,Electronics,38.12
Agent_2330759,Fashion,12.15
Agent_766040,Home & Furniture,18.85
Agent_1754565,Auto & Accessories,68.02
Agent_148685,Auto & Accessories,70.87
Agent_1387314,Home & Furniture,14.26
Agent_159414,Fashion,48.45
Agent_1793738,Home & Furniture,25.34
Agent_1995887,Fashion,73.72
Agent_469582,Auto & Accessories,80.21
Agent_1382819,Auto & Accessories,10.61
Agent_286127,Fashion,66.41
Agent_1693079,Home & Furniture,92.63
Agent_414026,Home & Furniture,36.13
Agent_143202,Electronics,61.62
Agent_1379358,Electronics,7.49
Agent_1889999,Electronics,75.84
Agent_1408445,Home & Furniture,15.28
Agent_1106,Auto & Accessories,45.45
Agent_1691979,Home & Furniture,76.37
Agent_424277,Home & Furniture,62.97
Agent_1431309,Home & Furniture,66.97
Agent_754418,Home & Furniture,87.61
Agent_429394,Home & Furniture,13.36
Agent_529135,Home & Furniture,34.99
Agent_973148,Auto & Accessories,39.05
Agent_423583,Electronics,89.98
Agent_2174257,Home & Furniture,95.51
Agent_1318918,Electronics,27.05
Agent_1502182,Electronics,56.93
Agent_1737836,Fashion,49.90
Agent_1238945,Fashion,65.46
Agent_1713582,Electronics,30.79
Agent_67006,Fashion,95.46
Agent_1516858,Home & Furniture,61.20
Agent_504988,Fashion,5.87
Agent_500470,Fashion,39.27
Agent_2103944,Auto & Accessories,18.35
Agent_470841,Fashion,14.89
Agent_1476613,Home & Furniture,82.90
Agent_89936,Electronics,57.77
Agent_1912816,Home & Furniture,28.75
Agent_1440838,Home & Furniture,32.80
Agent_1505499,Home & Furniture,35.09
Agent_97736,Home & Furniture,94.59
Agent_917644,Electronics,27.76
Agent_2342035,Fashion,92.50
Agent_853768,Auto & Accessories,50.19
Agent_500144,Auto & Accessories,58.81
Agent_1720316,Home & Furniture,63.81
Agent_1677968,Auto & Accessories,1.07
Agent_2393961,Electronics,38.71
Agent_2361230,Fashion,15.01
Agent_1524561,Auto & Accessories,8.94
Agent_1054879,Auto & Accessories,61.44
Agent_1621444,Fashion,13.53
Agent_1773309,Fashion,35.14
Agent_1518823,Auto & Accessories,31.06
Agent_1325280,Auto & Accessories,51.06
Agent_1261167,Home & Furniture,72.28
Agent_2195441,Electronics,10.04
Agent_2220227,Electronics,47.52
Agent_1917902,Electronics,73.24
Agent_2061522,Fashion,79.48
Agent_245701,Electronics,25.75
Agent_122453,Auto & Accessories,80.26
Agent_1272741,Auto & Accessories,1.47
Agent_1215307,Electronics,99.75
Agent_571692,Home & Furniture,40.04
Agent_1294174,Auto & Accessories,18.61
Agent_1595318,Auto & Accessories,68.27
Agent_270105,Electronics,11.84
Agent_1585042,Auto & Accessories,89.13
Agent_189394,Electronics,5.11
Agent_2384722,Electronics,96.68
Agent_1424658,Auto & Accessories,79.33
Agent_1999269,Fashion,79.42
Agent_2335544,Home & Furniture,65.17
Agent_2342221,Home & Furniture,71.39
Agent_1464228,Home & Furniture,85.35
Agent_1986372,Auto & Accessories,57.32
Agent_964492,Auto & Accessories,31.75
Agent_1439780,Electronics,35.49
Agent_1636709,Auto & Accessories,20.18
Agent_1826645,Auto & Accessories,38.63
Agent_2258044,Home & Furniture,28.35
Agent_1429582,Home & Furniture,90.48
Agent_1275751,Home & Furniture,95.08
Agent_17402,Electronics,11.78
Agent_2390019,Auto & Accessories,79.73
Agent_237601,Fashion,31.68
Agent_1831349,Fashion,51.80
Agent_878691,Fashion,14.16
Agent_417791,Home & Furniture,12.63
Agent_1686406,Home & Furniture,37.30
Agent_641015,Auto & Accessories,84.07
Agent_1471209,Auto & Accessories,36.79
Agent_1279716,Home & Furniture,51.88
Agent_200093,Electronics,5.39
Agent_1047220,Electronics,83.30
Agent_1323724,Auto & Accessories,18.98
Agent_2368202,Fashion,20.87
Agent_1569571,Home & Furniture,42.24
Agent_1575156,Auto & Accessories,14.47
Agent_1586994,Auto & Accessories,4.99
Agent_1198950,Electronics,18.89
Agent_1002724,Home & Furniture,97.66
Agent_646025,Home & Furniture,38.63
Agent_962931,Electronics,50.28
Agent_1142371,Fashion,57.93
Agent_1830977,Fashion,58.92
Agent_39366,Auto & Accessories,67.28
Agent_1233128,Auto & Accessories,10.45
Agent_1378919,Home & Furniture,14.32
Agent_2357822,Fashion,82.94
Agent_902285,Home & Furniture,93.08
Agent_1049883,Auto & Accessories,50.93
Agent_909136,Fashion,16.96
Agent_1767479,Auto & Accessories,25.75
Agent_2094156,Auto & Accessories,35.43
Agent_1881863,Home & Furniture,63.79
Agent_199383,Auto & Accessories,94.71
Agent_1763125,Electronics,41.56
Agent_1175055,Fashion,28.85
Agent_2404321,Fashion,62.76
Agent_1660,Auto & Accessories,77.34
Agent_830660,Fashion,67.19
Agent_1148469,Fashion,42.05
Agent_1064369,Fashion,2.14
Agent_2345614,Auto & Accessories,27.24
Agent_1589977,Auto & Accessories,19.26
Agent_1701419,Home & Furniture,32.32
Agent_1421223,Fashion,74.61
Agent_1426465,Electronics,43.18
Agent_410560,Electronics,36.30
Agent_1902475,Fashion,14.88
Agent_1652592,Electronics,77.11
Agent_30734,Auto & Accessories,81.98
Agent_1883192,Auto & Accessories,27.40
Agent_62756,Fashion,98.07
Agent_398596,Electronics,96.74
Agent_161000,Home & Furniture,72.47
Agent_1947857,Electronics,32.24
Agent_1154401,Electronics,13.59
Agent_1170016,Auto & Accessories,89.40
Agent_1338687,Fashion,59.61
Agent_1187332,Fashion,88.66
Agent_153767,Electronics,21.22
Agent_1565712,Electronics,39.28
Agent_1508624,Fashion,80.93
Agent_665658,Fashion,46.94
Agent_772906,Auto & Accessories,17.17
Agent_1681067,Electronics,23.88
Agent_2212174,Electronics,15.99
Agent_29715,Electronics,41.98
Agent_808860,Auto & Accessories,48.74
Agent_2332046,Electronics,94.63
Agent_399692,Electronics,34.88
Agent_934909,Auto & Accessories,11.12
Agent_677042,Home & Furniture,12.29
Agent_1013152,Electronics,94.00
Agent_663902,Fashion,36.24
Agent_2387287,Home & Furniture,55.79
Agent_2006815,Auto & Accessories,64.89
Agent_325584,Fashion,31.33
Agent_274885,Auto & Accessories,21.57
Agent_233416,Home & Furniture,25.55
Agent_93725,Auto & Accessories,86.97
Agent_49740,Auto & Accessories,66.26
Agent_1523962,Auto & Accessories,75.95
Agent_1128591,Electronics,58.19
Agent_82423,Home & Furniture,24.37
Agent_1362974,Fashion,65.34
Agent_282914,Electronics,85.32
Agent_1427156,Auto & Accessories,84.47
Agent_1377666,Fashion,83.74
Agent_900399,Electronics,17.09
Agent_965924,Home & Furniture,70.93
Agent_2369495,Auto & Accessories,78.22
Agent_1104743,Electronics,81.82
Agent_740263,Fashion,88.70
Agent_1052499,Home & Furniture,2.75
Agent_2101494,Home & Furniture,80.86
Agent_828380,Home & Furniture,43.37
Agent_232048,Home & Furniture,39.18
Agent_804084,Electronics,98.21
Agent_1015596,Fashion,75.91
Agent_426450,Fashion,36.30
Agent_2181636,Home & Furniture,46.61
Agent_738593,Electronics,12.45
Agent_1188922,Electronics,56.08
Agent_713453,Electronics,84.65
Agent_1514192,Home & Furniture,50.75
Agent_2107062,Fashion,43.56
Agent_2332090,Home & Furniture,34.03
Agent_2100498,Auto & Accessories,31.79
Agent_447627,Electronics,50.63
Agent_1460277,Fashion,41.54
Agent_167455,Auto & Accessories,18.12
Agent_938539,Auto & Accessories,22.59
Agent_652341,Auto & Accessories,24.39
Agent_1598461,Auto & Accessories,90.34
Agent_1874592,Electronics,61.96
Agent_1360676,Electronics,83.83
Agent_1026255,Home & Furniture,97.94
Agent_1013385,Electronics,44.53
Agent_874215,Home & Furniture,96.05
Agent_760146,Electronics,25.41
Agent_1283440,Home & Furniture,15.81
Agent_1541599,Auto & Accessories,8.38
Agent_653994,Home & Furniture,6.06
Agent_1409108,Auto & Accessories,20.24
Agent_671416,Auto & Accessories,42.31
Agent_1853645,Fashion,29.09
Agent_1858998,Auto & Accessories,76.42
Agent_1873129,Electronics,45.33
Agent_1079883,Home & Furniture,97.97
Agent_201041,Home & Furniture,19.31
Agent_621502,Fashion,1.66
Agent_509512,Fashion,59.52
Agent_215299,Fashion,80.87
Agent_2144876,Home & Furniture,1.09
Agent_343474,Fashion,6.84
Agent_2226177,Electronics,37.59
Agent_2065575,Auto & Accessories,73.33
Agent_616725,Home & Furniture,48.55
Agent_2190785,Fashion,68.82
Agent_1040681,Fashion,32.31
Agent_847358,Auto & Accessories,59.19
Agent_2278156,Auto & Accessories,68.01
Agent_198558,Electronics,51.94
Agent_1534925,Auto & Accessories,33.42
Agent_1381486,Auto & Accessories,83.96
Agent_1653381,Auto & Accessories,89.30
Agent_1427101,Home & Furniture,70.87
Agent_2237040,Electronics,48.23
Agent_2291992,Fashion,65.46
Agent_748104,Auto & Accessories,94.32
Agent_1253419,Home & Furniture,93.92
Agent_251800,Fashion,65.85
Agent_155474,Electronics,26.75
Agent_1391603,Home & Furniture,2.26
Agent_338797,Fashion,48.43
Agent_1402367,Electronics,66.59
Agent_1923383,Auto & Accessories,7.69
Agent_362679,Fashion,54.72
Agent_1810408,Electronics,82.19
Agent_1450304,Fashion,90.93
Agent_2061694,Auto & Accessories,91.02
Agent_2106128,Electronics,76.69
Agent_1193923,Auto & Accessories,93.40
Agent_1722768,Electronics,4.32
Agent_1461556,Fashion,17.12
Agent_652087,Auto & Accessories,78.55
Agent_2059676,Home & Furniture,75.79
Agent_242829,Fashion,32.15
Agent_511769,Auto & Accessories,6.55
Agent_1825703,Fashion,13.08
Agent_1339684,Electronics,58.09
Agent_2076707,Auto & Accessories,12.05
Agent_1910812,Home & Furniture,72.34
Agent_1492830,Fashion,69.86
Agent_1337900,Home & Furniture,75.66
Agent_1952519,Fashion,27.08
Agent_287174,Electronics,26.71
Agent_247022,Electronics,69.31
Agent_1114962,Electronics,8.89
Agent_2108833,Electronics,48.80
Agent_2325879,Fashion,90.45
Agent_1370661,Electronics,21.50
Agent_918233,Electronics,54.02
Agent_1292093,Fashion,26.98
Agent_857644,Fashion,51.05
Agent_712277,Electronics,60.82
Agent_306656,Home & Furniture,28.40
Agent_1829382,Auto & Accessories,20.60
Agent_833402,Auto & Accessories,84.66
Agent_1225776,Electronics,89.11
Agent_2386051,Auto & Accessories,92.29
Agent_1056383,Fashion,8.60
Agent_1746564,Electronics,20.95
Agent_1581526,Auto & Accessories,50.50
Agent_1197577,Electronics,25.97
Agent_1600439,Electronics,29.72
Agent_1986352,Fashion,10.81
Agent_1221698,Auto & Accessories,44.64
Agent_731911,Auto & Accessories,83.92
Agent_1871814,Electronics,85.17
Agent_2231113,Fashion,21.54
Agent_237713,Fashion,51.57
Agent_284494,Fashion,68.00
Agent_162808,Electronics,12.77
Agent_519046,Fashion,1.49
Agent_1423243,Home & Furniture,63.25
Agent_1577550,Home & Furniture,77.84
Agent_2128505,Auto & Accessories,94.38
Agent_654046,Auto & Accessories,85.57
Agent_2136810,Electronics,40.10
Agent_101670,Fashion,66.37
Agent_1196558,Home & Furniture,8.75
Agent_1556203,Fashion,55.16
Agent_670671,Fashion,38.92
Agent_689975,Home & Furniture,35.49
Agent_577301,Fashion,8.36
Agent_886123,Auto & Accessories,55.80
Agent_637948,Auto & Accessories,5.75
Agent_1194710,Fashion,15.18
Agent_1744366,Auto & Accessories,27.94
Agent_563549,Auto & Accessories,36.75
Agent_328666,Fashion,18.49
Agent_160490,Auto & Accessories,63.71
Agent_1096901,Home & Furniture,78.64
Agent_1020928,Auto & Accessories,95.30
Agent_278658,Home & Furniture,66.82
Agent_2311169,Auto & Accessories,62.09
Agent_1336673,Fashion,85.69
Agent_857366,Fashion,88.83
Agent_1254702,Electronics,36.79
Agent_1465909,Fashion,19.75
Agent_1996086,Fashion,22.74
Agent_996897,Home & Furniture,36.19
Agent_1723089,Auto & Accessories,23.47
Agent_1093215,Home & Furniture,96.91
Agent_2070631,Auto & Accessories,59.14
Agent_2041116,Electronics,46.05
Agent_2195882,Auto & Accessories,33.52
Agent_1749941,Auto & Accessories,94.59
Agent_409322,Electronics,77.99
Agent_330387,Home & Furniture,75.50
Agent_1549655,Home & Furniture,39.78
Agent_1995025,Auto & Accessories,38.11
Agent_2346100,Home & Furniture,74.43
Agent_655779,Fashion,14.01
Agent_1314042,Home & Furniture,37.26
Agent_1275956,Electronics,96.54
Agent_1268170,Fashion,82.15
Agent_1518794,Electronics,43.21
Agent_1310532,Electronics,17.06
Agent_1539649,Fashion,79.77
Agent_1562314,Auto & Accessories,57.99
Agent_1288053,Home & Furniture,12.43
Agent_795208,Auto & Accessories,82.41
Agent_1063879,Fashion,38.30
Agent_684697,Electronics,27.17
Agent_1251593,Auto & Accessories,77.79
Agent_2270229,Home & Furniture,21.38
Agent_768073,Auto & Accessories,98.45
Agent_1987676,Electronics,89.57
Agent_628505,Electronics,9.16
Agent_836152,Home & Furniture,53.91
Agent_1424172,Auto & Accessories,31.62
Agent_351612,Fashion,50.76
Agent_297752,Auto & Accessories,81.29
Agent_629301,Fashion,66.19
Agent_2100201,Auto & Accessories,10.68
Agent_462230,Fashion,48.05
Agent_222944,Fashion,30.65
Agent_894592,Auto & Accessories,35.49
Agent_774898,Home & Furniture,5.35
Agent_862494,Electronics,80.56
Agent_1438105,Auto & Accessories,12.85
Agent_1033975,Electronics,40.79
Agent_821368,Home & Furniture,19.50
Agent_543598,Fashion,62.42
Agent_2395055,Electronics,19.77
Agent_2224181,Fashion,11.74
Agent_1551497,Electronics,64.99
Agent_1768413,Fashion,30.32
Agent_820772,Auto & Accessories,8.57
Agent_831520,Electronics,33.51
Agent_2014758,Electronics,15.02
Agent_521199,Electronics,36.06
Agent_210638,Electronics,24.52
Agent_1715307,Home & Furniture,18.31
Agent_2164988,Home & Furniture,36.47
Agent_1401419,Electronics,94.47
Agent_780046,Electronics,11.07
Agent_1245613,Auto & Accessories,16.55
Agent_1597903,Fashion,66.94
Agent_243250,Fashion,93.64
Agent_1512539,Auto & Accessories,82.12
Agent_1322281,Home & Furniture,26.93
Agent_1077393,Electronics,33.99
Agent_404950,Electronics,18.00
Agent_957241,Fashion,79.91
Agent_1527508,Home & Furniture,55.57
Agent_1079812,Electronics,47.06
Agent_991327,Auto & Accessories,58.84
Agent_470939,Fashion,77.76
Agent_1889819,Home & Furniture,63.84
Agent_1774648,Fashion,44.27
Agent_2137514,Auto & Accessories,17.89
Agent_354018,Electronics,12.11
Agent_1958299,Auto & Accessories,16.24
Agent_343228,Home & Furniture,81.92
Agent_2074869,Home & Furniture,85.27
Agent_385040,Auto & Accessories,34.07
Agent_620809,Home & Furniture,60.10
Agent_757484,Auto & Accessories,3.12
Agent_1618287,Home & Furniture,18.09
Agent_722587,Fashion,8.59
Agent_954706,Fashion,99.56
Agent_529962,Electronics,2.99
Agent_1494679,Electronics,69.27
Agent_663743,Fashion,76.99
Agent_530354,Auto & Accessories,75.34
Agent_1067378,Auto & Accessories,75.99
Agent_1854301,Electronics,57.27
Agent_1089811,Fashion,38.99
Agent_1539301,Electronics,56.02
Agent_1701713,Electronics,59.60
Agent_1154501,Fashion,11.01
Agent_1928230,Auto & Accessories,9.19
Agent_1017959,Home & Furniture,22.37
Agent_1706517,Home & Furniture,49.74
Agent_227407,Home & Furniture,82.20
Agent_94279,Fashion,82.72
Agent_1704089,Auto & Accessories,77.30
Agent_1200683,Auto & Accessories,70.58
Agent_1948717,Home & Furniture,88.37
Agent_1813127,Electronics,25.42
Agent_2329386,Fashion,71.09
Agent_1067943,Auto & Accessories,73.90
Agent_272376,Electronics,26.95
Agent_1814748,Home & Furniture,50.01
Agent_1478489,Fashion,11.85
Agent_688915,Fashion,95.57
Agent_2310631,Auto & Accessories,66.42
Agent_1390369,Auto & Accessories,71.35
Agent_1892819,Fashion,93.27
Agent_1720724,Auto & Accessories,15.84
Agent_46904,Auto & Accessories,89.25
Agent_1290605,Home & Furniture,79.45
Agent_1137312,Home & Furniture,9.76
Agent_979983,Home & Furniture,62.85
Agent_1166893,Fashion,43.85
Agent_1196655,Home & Furniture,72.40
Agent_1775586,Fashion,17.10
Agent_1043698,Electronics,33.54
Agent_932178,Fashion,39.59
Agent_2298241,Electronics,95.67
Agent_1099159,Fashion,20.57
Agent_226970,Electronics,74.51
Agent_1507405,Fashion,93.39
Agent_2073473,Auto & Accessories,31.36
Agent_730589,Home & Furniture,21.36
Agent_2299537,Auto & Accessories,31.89
Agent_1143678,Auto & Accessories,70.72
Agent_116941,Electronics,59.85
Agent_1922423,Home & Furniture,64.52
Agent_274418,Electronics,38.81
Agent_135110,Fashion,45.26
Agent_1080541,Fashion,47.12
Agent_1920020,Fashion,1.92
Agent_708269,Electronics,11.87
Agent_441257,Home & Furniture,43.59
Agent_1068658,Home & Furniture,75.48
Agent_864301,Home & Furniture,60.01
Agent_457881,Home & Furniture,61.00
Agent_600005,Home & Furniture,55.08
Agent_908105,Electronics,84.43
Agent_224858,Auto & Accessories,68.08
Agent_10873,Electronics,25.05
Agent_172549,Home & Furniture,54.59
Agent_1963633,Auto & Accessories,63.79
Agent_1370472,Electronics,33.21
Agent_560113,Fashion,40.82
Agent_2136029,Auto & Accessories,72.96
Agent_647958,Electronics,5.37
Agent_1622434,Home & Furniture,39.01
Agent_2148268,Auto & Accessories,85.64
Agent_2141219,Fashion,87.26
Agent_2046938,Fashion,42.41
Agent_1935681,Electronics,96.02
Agent_116631,Fashion,72.02
Agent_1500533,Home & Furniture,4.38
Agent_404468,Auto & Accessories,58.80
Agent_2007741,Electronics,60.30
Agent_698328,Fashion,71.59
Agent_1005402,Home & Furniture,54.17
Agent_1123191,Home & Furniture,56.89
Agent_698889,Home & Furniture,72.18
Agent_156843,Electronics,68.17
Agent_48400,Electronics,92.07
Agent_539359,Electronics,30.30
Agent_1221061,Electronics,80.90
Agent_1419788,Electronics,29.55
Agent_2206161,Auto & Accessories,48.97
Agent_852751,Home & Furniture,68.36
Agent_1685353,Electronics,86.44
Agent_1588191,Home & Furniture,21.30
Agent_1250919,Fashion,9.93
Agent_1229204,Auto & Accessories,44.29
Agent_855668,Electronics,95.17
Agent_382155,Home & Furniture,52.56
Agent_2307943,Electronics,48.34
Agent_2324460,Electronics,61.53
Agent_276284,Home & Furniture,19.39
Agent_514340,Home & Furniture,56.96
Agent_601763,Fashion,15.33
Agent_2329400,Electronics,25.49
Agent_244484,Electronics,60.91
Agent_1477536,Auto & Accessories,63.67
Agent_375791,Auto & Accessories,59.83
Agent_611722,Electronics,76.86
Agent_299654,Electronics,27.47
Agent_661341,Auto & Accessories,31.43
Agent_441514,Electronics,98.06
Agent_447019,Auto & Accessories,61.46
Agent_579350,Auto & Accessories,10.33
Agent_264426,Home & Furniture,44.55
Agent_1371615,Auto & Accessories,25.38
Agent_2119919,Fashion,85.16
Agent_151282,Home & Furniture,95.89
Agent_479788,Electronics,5.54
Agent_363057,Fashion,83.37
Agent_1499439,Electronics,88.60
Agent_1158944,Home & Furniture,51.47
Agent_1648759,Electronics,68.48
Agent_714951,Electronics,66.64
Agent_83169,Auto & Accessories,11.59
Agent_532004,Auto & Accessories,79.69
Agent_1513956,Home & Furniture,11.88
Agent_2266477,Fashion,20.53
Agent_734901,Home & Furniture,43.42
Agent_103524,Auto & Accessories,74.43
Agent_993183,Fashion,6.32
Agent_1335822,Home & Furniture,18.63
Agent_1712361,Fashion,57.87
Agent_886272,Fashion,80.31
Agent_1048479,Fashion,37.90
Agent_1354173,Electronics,15.30
Agent_1221104,Fashion,33.39
Agent_2091401,Fashion,37.77
Agent_1505229,Electronics,95.69
Agent_1917380,Auto & Accessories,83.06
Agent_1847519,Auto & Accessories,15.29
Agent_132664,Auto & Accessories,79.59
Agent_1748900,Home & Furniture,85.95
Agent_544516,Home & Furniture,97.87
Agent_1007974,Fashion,45.26
Agent_1328394,Home & Furniture,50.22
Agent_818518,Home & Furniture,17.84
Agent_1050907,Electronics,93.44
Agent_2087591,Fashion,12.95
Agent_283903,Auto & Accessories,51.71
Agent_1339839,Electronics,69.17
Agent_440655,Auto & Accessories,49.14
Agent_797167,Fashion,53.13
Agent_1944045,Home & Furniture,45.60
Agent_1655428,Fashion,39.66
Agent_867110,Electronics,4.18
Agent_2377140,Fashion,47.59
Agent_2150971,Fashion,23.06
Agent_2027701,Electronics,35.84
Agent_1765302,Auto & Accessories,6.73
Agent_1741759,Home & Furniture,6.28
Agent_803168,Auto & Accessories,14.56
Agent_807564,Fashion,84.28
Agent_373636,Electronics,24.50
Agent_1575218,Electronics,86.38
Agent_1741801,Auto & Accessories,18.54
Agent_39332,Home & Furniture,54.82
Agent_293580,Auto & Accessories,24.07
Agent_722264,Auto & Accessories,91.53
Agent_449455,Auto & Accessories,29.72
Agent_698690,Fashion,85.00
Agent_688124,Auto & Accessories,38.09
Agent_411346,Fashion,86.13
Agent_1742420,Home & Furniture,71.64
Agent_2043512,Auto & Accessories,99.65
Agent_102756,Electronics,13.71
Agent_1628392,Electronics,17.99
Agent_2358136,Auto & Accessories,17.98
Agent_1797616,Fashion,27.83
Agent_1615389,Auto & Accessories,11.00
Agent_416151,Home & Furniture,43.45
Agent_1062134,Fashion,71.06
Agent_1895729,Auto & Accessories,99.68
Agent_61613,Fashion,28.07
Agent_2344169,Home & Furniture,34.75
Agent_115362,Auto & Accessories,56.42
Agent_1543272,Home & Furniture,71.39
Agent_207743,Fashion,82.72
Agent_367506,Fashion,28.87
Agent_801423,Auto & Accessories,40.05
Agent_138465,Fashion,65.94
Agent_784904,Fashion,18.17
Agent_538791,Auto & Accessories,11.63
Agent_1416373,Auto & Accessories,69.72
Agent_1617786,Electronics,92.98
Agent_1089771,Auto & Accessories,34.21
Agent_1003636,Fashion,96.23
Agent_2375025,Auto & Accessories,23.49
Agent_409553,Auto & Accessories,45.69
Agent_2167220,Fashion,80.03
Agent_1965034,Auto & Accessories,48.67
Agent_1286497,Electronics,19.25
Agent_2233742,Fashion,1.81
Agent_1482595,Fashion,92.02
Agent_209374,Electronics,49.64
Agent_2160621,Electronics,65.57
Agent_1959724,Home & Furniture,91.04
Agent_242642,Fashion,12.48
Agent_1347755,Auto & Accessories,29.13
Agent_395555,Auto & Accessories,99.55
Agent_2181358,Home & Furniture,41.55
Agent_764192,Fashion,25.06
Agent_1524980,Auto & Accessories,22.76
Agent_2132204,Electronics,53.13
Agent_1889988,Fashion,46.70
Agent_38611,Electronics,18.99
Agent_1139105,Auto & Accessories,60.48
Agent_590443,Fashion,86.33
Agent_42554,Home & Furniture,85.03
Agent_1113509,Electronics,51.18
Agent_36918,Auto & Accessories,78.67
Agent_1227876,Auto & Accessories,81.58
Agent_2360756,Fashion,1.42
Agent_105491,Auto & Accessories,71.01
Agent_1095925,Home & Furniture,75.77
Agent_96297,Electronics,97.39
Agent_1792391,Electronics,62.66
Agent_1662308,Auto & Accessories,71.23
Agent_104556,Home & Furniture,75.74
Agent_2041374,Auto & Accessories,57.21
Agent_1268449,Fashion,55.71
Agent_788157,Electronics,80.75
Agent_445510,Auto & Accessories,4.15
Agent_1669559,Auto & Accessories,74.46
Agent_685870,Auto & Accessories,5.25
Agent_1253819,Home & Furniture,33.87
Agent_1477496,Fashion,82.23
Agent_98293,Electronics,39.37
Agent_448755,Fashion,86.81
Agent_1402447,Auto & Accessories,48.64
Agent_2252421,Auto & Accessories,24.88
Agent_1893492,Fashion,66.58
Agent_2074344,Home & Furniture,54.54
Agent_1124615,Auto & Accessories,89.50
Agent_490642,Electronics,79.17
Agent_946151,Fashion,99.56
Agent_1435353,Electronics,87.61
Agent_665639,Electronics,19.79
Agent_228328,Home & Furniture,91.53
Agent_947130,Electronics,77.48
Agent_1679440,Auto & Accessories,67.27
Agent_1177092,Electronics,89.55
Agent_1407303,Auto & Accessories,61.39
Agent_1602596,Home & Furniture,56.49
Agent_125006,Auto & Accessories,60.27
Agent_337482,Electronics,19.09
Agent_1671659,Auto & Accessories,60.12
Agent_1353231,Fashion,19.77
Agent_629750,Electronics,24.40
Agent_354972,Auto & Accessories,48.70
Agent_339036,Electronics,82.77
Agent_309427,Fashion,52.54
Agent_1349160,Auto & Accessories,77.33
Agent_1731125,Fashion,96.61
Agent_563970,Auto & Accessories,55.21
Agent_592861,Home & Furniture,85.06
Agent_2367751,Auto & Accessories,5.14
Agent_1317368,Home & Furniture,12.08
Agent_2195849,Auto & Accessories,59.40
Agent_1294835,Fashion,39.96
Agent_358587,Electronics,93.55
Agent_1050170,Electronics,57.13
Agent_2352120,Auto & Accessories,53.66
Agent_2152713,Auto & Accessories,29.05
Agent_574396,Auto & Accessories,93.07
Agent_40343,Home & Furniture,23.97
Agent_1481014,Fashion,36.04
Agent_2319607,Fashion,82.35
Agent_237271,Electronics,33.15
Agent_189005,Home & Furniture,99.05
Agent_351700,Electronics,20.22
Agent_2372568,Fashion,64.74
Agent_1253954,Home & Furniture,27.89
Agent_1890261,Home & Furniture,9.61
Agent_940157,Auto & Accessories,14.16
Agent_1981348,Fashion,69.58
Agent_647603,Auto & Accessories,81.16
Agent_922273,Auto & Accessories,2.00
Agent_590194,Fashion,82.29
Agent_1836622,Electronics,43.82
Agent_344588,Fashion,57.39
Agent_2010342,Auto & Accessories,66.63
Agent_1020151,Electronics,86.12
Agent_1929243,Electronics,38.92
Agent_926357,Auto & Accessories,18.98
Agent_805792,Fashion,15.33
Agent_2150263,Home & Furniture,58.74
Agent_1282502,Home & Furniture,81.29
Agent_1024117,Electronics,45.10
Agent_954026,Home & Furniture,34.36
Agent_1239582,Home & Furniture,70.07
Agent_1548883,Fashion,25.70
Agent_932498,Auto & Accessories,99.74
Agent_1191710,Home & Furniture,67.55
Agent_1611865,Auto & Accessories,8.01
Agent_973544,Electronics,50.26
Agent_1307831,Auto & Accessories,45.65
Agent_1679457,Fashion,6.50
Agent_541852,Electronics,94.69
Agent_131095,Auto & Accessories,58.45
Agent_2269179,Fashion,36.27
Agent_1961659,Electronics,50.37
Agent_1814177,Home & Furniture,26.42
Agent_1165220,Auto & Accessories,32.41
Agent_672600,Electronics,39.78
Agent_1607966,Auto & Accessories,63.16
Agent_1358096,Fashion,23.58
Agent_2052686,Electronics,90.24
Agent_1606243,Electronics,74.06
Agent_1513377,Electronics,26.69
Agent_1238053,Electronics,63.64
Agent_2210062,Home & Furniture,65.94
Agent_1510387,Home & Furniture,8.11
Agent_26994,Home & Furniture,22.60
Agent_471061,Home & Furniture,25.92
Agent_1759978,Electronics,18.45
Agent_644771,Auto & Accessories,14.76
Agent_1334513,Auto & Accessories,96.77
Agent_884966,Home & Furniture,69.16
Agent_12392,Home & Furniture,68.95
Agent_961641,Auto & Accessories,25.67
Agent_2005232,Electronics,86.13
